Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
2,66,4,4,"5,25",2,KG A,1,1
,,,,,,,,
1,69,9,3,"5,25",2,KG A,1,1
,,,,,,,,
1,67,6,2,"5,25",2,KG A,1,2
,,,,,,,,
2,56,5,5,"5,25",2,KG A,1,1
,,,,,,,,
1,53,3,1,"5,25",2,KG A,1,1
,,,,,,,,
2,77,9,4,"5,25",2,KG A,1,1
,,,,,,,,
2,58,5,0,"5,25",2,KG A,1,1
,,,,,,,,
2,42,3,1,"5,25",2,KG A,1,1
,,,,,,,,
2,57,5,3,"5,25",2,KG A,1,1
,,,,,,,,
1,54,5,4,"5,25",2,KG A,1,1
,,,,,,,,
1,42,4,4,"5,25",2,KG A,1,1
,,,,,,,,
1,64,7,0,"5,25",2,KG B,1,1
,,,,,,,,
1,34,3,3,"5,25",2,KG B,1,1
,,,,,,,,
1,27,8,2,"5,25",2,KG B,1,1
,,,,,,,,
2,22,7,3,"5,25",2,KG B,2,2
,,,,,,,,
2,68,5,2,"5,25",2,KG B,1,1
,,,,,,,,
2,65,5,4,"5,25",2,KG B,1,1
,,,,,,,,
1,32,5,6,"5,25",2,KG B,2,2
,,,,,,,,
1,44,7,7,"5,25",2,KG B,1,1
,,,,,,,,
2,56,5,2,"5,25",2,KG B,2,2
,,,,,,,,
1,21,7,2,"5,25",2,KG B,1,1
,,,,,,,,
2,71,5,8,"5,25",2,KG B,1,1
,,,,,,,,
1,33,4,2,"5,25",2,KG B,2,1
,,,,,,,,
2,55,5,3,"5,25",2,KG B,2,1
,,,,,,,,
2,51,4,0,"5,25",2,KG B,1,1
,,,,,,,,
2,60,5,0,"5,25",2,KG B,1,1
,,,,,,,,
1,41,8,3,"5,25",2,KG B,2,2
,,,,,,,,
1,57,4,7,"5,25",2,KG B,1,1
,,,,,,,,
1,23,7,4,"5,25",2,KG B,1,1
,,,,,,,,
2,58,7,9,"5,5",2,Intervention A,2,2
,,,,,,,,
1,70,8,8,"5,5",2,Intervention A,2,2
,,,,,,,,
2,49,9,8,"5,5",2,Intervention A,2,2
,,,,,,,,
2,74,9,6,"5,5",2,Intervention A,2,2
,,,,,,,,
1,21,7,2,"5,5",2,Intervention A,2,2
,,,,,,,,
1,24,7,1,"5,5",2,Intervention A,1,1
,,,,,,,,
1,73,3,2,"5,5",2,Intervention A,1,1
,,,,,,,,
1,53,5,2,"5,5",2,Intervention A,1,2
,,,,,,,,
2,69,3,2,"5,5",2,Intervention A,1,1
,,,,,,,,
2,73,5,2,"5,5",2,Intervention B,1,2
,,,,,,,,
1,42,9,2,"5,5",2,Intervention B,2,2
,,,,,,,,
1,39,8,5,"5,5",2,Intervention B,2,2
,,,,,,,,
