Geschlecht,Alter,EInvestition1_pr_,EInvestition2_pr_,EInvestition3_pr_,Routine1_pr_,Routine2_pr_,Routine3_pr_,Sorglos1_pr_,Sorglos2_pr_,Sorglos3_pr_,Sorglos4_pr_,Ehandlung1_pr_,EHandlung2_pr_,EInvestition1_post,Einvestition2_post,EInvestition3_post,Routine1_post,Routine2_post,Routine3_post,Sorglos1_post,Sorglos2_post,Sorglos3_post,Sorglos4_post,EHandlung1_post,EHandlung2_post,Bildungsabschluss,Einkommen,BioV,Rebound,Gruppe_Bio,Bedingung
2,34,4,6,1,7,1,6,7,7,1,1,5,6,4,4,1,7,1,5,7,6,1,1,5,7,9,8,5.25,0.25,0,KG B
1,18,4,7,6,5,4,7,6,6,2,2,6,6,2,2,2,3,4,3,5,3,4,3,4,4,6,1,4,2.333333333333333,0,KG B
2,28,7,5,3,7,1,6,7,4,1,5,7,6,7,5,4,7,1,5,5,4,1,4,7,6,9,5,4.25,0.08333333333333304,0,KG B
1,37,6,6,4,7,1,6,7,1,1,3,7,7,4,4,3,7,1,6,7,1,1,2,7,7,5,3,4,0.333333333333333,0,KG B
1,51,7,7,3,7,1,4,7,6,1,4,7,7,7,1,2,7,1,4,7,3,1,6,7,7,5,4,4.25,1,0,KG B
2,74,4,5,6,5,1,5,4,2,1,4,5,6,6,6,6,6,2,6,6,2,1,6,6,6,7,0,4.25,-0.416666666666667,0,KG B
2,69,7,7,7,7,1,7,7,7,1,3,7,7,7,7,7,7,1,7,7,7,1,3,7,7,5,2,6.5,0,1,KG B
2,61,7,7,7,7,1,7,7,5,1,3,7,7,7,7,7,7,1,7,7,5,1,3,7,7,9,9,6,0,1,KG B
2,82,7,7,7,6,1,7,7,3,1,7,7,7,7,7,7,7,1,7,7,5,1,5,7,7,7,0,6,-0.416666666666667,1,KG B
2,56,7,7,7,7,1,7,7,4,1,5,7,7,7,7,5,7,1,7,7,4,1,6,7,7,9,2,7,0.25,1,KG B
1,62,6,7,6,7,1,7,7,7,1,1,7,7,7,7,6,7,1,7,7,7,1,1,7,7,4,1,6,-0.08333333333333393,1,KG B
2,66,6,6,7,7,1,7,7,2,1,7,7,7,5,5,5,7,1,5,7,1,1,7,7,7,9,1,6.5,0.5833333333333339,1,KG B
1,26,7,1,7,7,1,1,5,7,7,7,7,1,7,1,7,7,1,2,1,7,1,1,7,1,5,1,7,-0.75,1,KG B
1,64,3,3,1,7,3,1,7,1,7,7,7,3,1,3,1,7,3,1,7,1,3,7,7,3,3,1,7,-0.1666666666666665,1,KG B
1,23,7,5,6,7,1,6,7,7,1,1,7,5,6,5,3,7,1,7,7,7,1,1,7,3,4,2,7,0.416666666666667,1,KG B
1,67,7,7,7,7,1,6,7,6,1,5,7,7,7,7,5,6,2,1,6,5,1,5,7,7,4,4,6.25,0.916666666666667,1,KG B
2,62,7,7,7,7,1,7,7,3,1,7,7,7,7,4,7,7,1,7,7,3,1,7,7,7,5,2,7,0.25,1,KG B
1,67,6,4,6,7,1,7,7,5,1,5,5,5,6,4,6,7,1,6,7,5,1,6,5,5,9,4,6,0.166666666666667,1,KG B
2,69,7,7,5,7,1,7,7,4,1,5,7,7,7,7,7,7,1,7,7,3,1,4,7,7,5,0,6,-0.166666666666667,1,KG B
1,51,7,6,4,7,1,7,7,7,1,1,7,7,7,7,7,7,1,7,7,5,1,4,7,7,4,2,6.25,0.08333333333333393,1,KG B
2,29,7,7,2,7,2,5,7,5,1,3,7,6,6,4,1,6,3,3,7,5,2,4,5,6,7,4,6,1.083333333333334,1,KG B
